Date,Open,High,Low,Close,Adj Close,Volume
1965-01-01,1420.95,1433.92,1401.38,1417.0,1417.0,1289176971
1965-02-01,1419.5,1428.45,1393.77,1417.0,1417.0,723837775
1965-03-01,1413.01,1425.1,1401.73,1417.0,1417.0,1219907550
1965-04-01,1417.64,1437.26,1378.95,1417.0,1417.0,705199007
1965-05-01,1421.33,1435.69,1403.97,1417.0,1417.0,1465770457
1965-06-01,1414.68,1427.79,1389.63,1417.0,1417.0,1182980825
1965-07-01,1421.35,1439.89,1372.68,1417.0,1417.0,1002827501
1965-08-01,1417.74,1437.98,1376.95,1417.0,1417.0,1161881716
1965-09-01,1419.9,1431.85,1398.84,1417.0,1417.0,763833581
1965-10-01,1413.21,1434.72,1392.67,1417.0,1417.0,991865743
1965-11-01,1415.16,1434.3,1388.2,1417.0,1417.0,1218428308
1965-12-01,1418.55,1441.15,1403.66,1417.0,1417.0,1003564353
1966-01-01,1423.94,1442.95,1379.25,1412.42,1412.42,1374281536
1966-02-01,1416.32,1424.08,1388.82,1407.85,1407.85,914192700
1966-03-01,1403.78,1429.26,1384.36,1403.3,1403.3,1224350932
1966-04-01,1401.84,1418.5,1381.77,1398.77,1398.77,897302006
1966-05-01,1399.62,1418.9,1353.48,1394.24,1394.24,1019520404
1966-06-01,1390.33,1407.91,1379.38,1389.74,1389.74,737693100
1966-07-01,1384.31,1421.8,1368.63,1385.25,1385.25,750822164
1966-08-01,1383.61,1401.5,1337.66,1380.77,1380.77,1388623761
1966-09-01,1374.02,1408.52,1356.08,1376.3,1376.3,913460151
1966-10-01,1378.24,1394.12,1348.19,1371.85,1371.85,1463052742
1966-11-01,1377.01,1394.24,1353.99,1367.42,1367.42,1430102271
1966-12-01,1372.49,1392.5,1333.77,1363.0,1363.0,822271414
1967-01-01,1366.58,1389.37,1329.86,1356.06,1356.06,700457516
1967-02-01,1353.67,1379.31,1310.4,1349.15,1349.15,1365332423
1967-03-01,1346.56,1371.02,1301.25,1342.28,1342.28,768522761
1967-04-01,1342.09,1364.12,1301.16,1335.45,1335.45,802713171
1967-05-01,1335.12,1347.1,1290.71,1328.65,1328.65,1038510352
1967-06-01,1324.82,1345.95,1308.09,1321.88,1321.88,949373033
1967-07-01,1328.43,1343.8,1290.19,1315.15,1315.15,796803356
